"","value","year","filename"
"11","of Denis Kearney, the State of Cali",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"12","fornia has seen the rise and fall of",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"13","many radical movements. Under their",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"14","stimulus and despite their agitation,",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"15","the state has moved ahead in economic",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"16","power and political enlightenment. But",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"17","California's 8,553 enrolled Commu",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"18","nists comprise a group which is no",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"19","gentle irritant. It is a malign growth.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"20","More disturbing than nu",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"21","merical strength is the fact",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"22","that a single Communist",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"23","can probably create more",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"24","mischief here than in any",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"25","other state. There are more",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"26","uplift and reform organiza",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"27","tions to infiltrate, and there",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"28","are more restless migrants to",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"29","indoctrinate. He can bur",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"30","row into the vitals of movie",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"31","production, labor unions,",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"32","shipping and agriculture.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"33","But here, as elsewhere, there is con",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"34","fused thinking about what to do about",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"35","Communism.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"36","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"37","It has become evident since the re",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"38","cent testimony of J. Edgar Hoover",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"39","that diagnosis is completed, prognosis",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"40","is fairly clear, and treatment is the next",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"41","order of business. To clarify our think",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"42","ing about Communism, we should",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"43","draw a distinction between our deal",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"44","ings with Soviet Russia and our pro",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"45","cedure with American Communism.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"46","The first is a problem of diplomacy.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"47","The second is a domestic police prob",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"48","lem. In diplomacy, the course is in",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"49","what Secretary Byrnes called firmness",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"50","and patience. But patience should",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"51","have no part in dealing with the Com",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"52","munists in the United States.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"53","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"54","Much of what needs to be done",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"55","lies within the province of Congress.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"56","But under the Constitution there",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"57","should be supplementary action by",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"58","the states mainly concerned. Abundant",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"59","evidence is in the record. Legislation",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"60","is now in order. Mere exposure is not",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"61","enough. Continuous exposure and in",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"62","terminable publicity beget hysteria,",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"63","and hysteria leads to persecution, in",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"64","justice and private vengeance. When",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"65","specific definition and clear law are",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"66","lacking, Judge Lynchlaw mounts his",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"67","sinister bench. If everybody can make",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"68","his own definition of Communism, al",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"69","most everybody will use the term to",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"70","define anything he doesn't like.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"71","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"72","What do we want to do about Com",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"73","munism? First, we want no legalized",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"74","party, organization or activity which",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"75","advocates the overthrow of our insti",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"76","tutions, now or at any other time, by",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"77","sabotage, calculated deceit or any",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"78","form of violence. Second, we want no",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"79","political party which is directed or",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"80","materially supported by a foreign gov",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"81","ernment or by any agency of a foreign",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"82","government. Let us use either or both",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"83","of these criteria in defining illegal or",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"84","criminal activity. Organizations or par",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"85","ties which fall within this definition",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"86","should be outlawed.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"87","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"88","Besides, persons who sub",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"89","scribe to the views expressed",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"90","above and are subject to",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"91","foreign direction should be",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"92","excluded from office or",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"93","membership in organiza",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"94","tions operating under the",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"95","law. For example, labor un",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"96","ions should be required to",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"97","purge themselves of Com",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"98","munists or be subject to",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"99","punitive proceedings under",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"100","the law. It goes without saying that no",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"101","Communist should hold public office",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"102","or position.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"103","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"104","There are those who object to out",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"105","lawing the Communist party because,",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"106","they say, we would merely drive it",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"107","underground. But the Communist",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"108","party is in part underground now.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"109","Its widespread connections are hid",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"110","den, and its public professions are",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"111","false. To give it legal status does not",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"112","make it honest.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"113","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"114","There is a profoundly important",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"115","historical reason why we should rid",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"116","our nation of Communism. Arnold",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"117","Toynbee, in his great book, ""A Study",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"118","of History,"" has shown by abundant",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"119","proof how nations and civilizations dis",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"120","integrate. They are not destroyed by",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"121","attacks from without. They die from",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"122","what is within. Economically, they",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"123","breed poverty and confusion. Politi",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"124","cally, they lack unity in fundamental",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"125","faiths. Spiritually, they lose creative",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"126","thinking, science, art and religion. Dr.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"127","Toynbee sums up his philosophy of",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"128","history in lines from Meredith:",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"129","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"130","In tragic life, God wot,",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"131","No villain need be! Passions spin",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"132","the plot:",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"133","We are betrayed by what is false",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"134","within.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"135","",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"136","It is hard for a true liberal to advo",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"137","cate the outlawing of domestic Com",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"138","munism. But while liberalism is a",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"139","mighty creed, it can destroy its foun",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"140","dations through its very tolerance. The",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"141","tenets of Communism are inimical to",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"142","liberal institutions.",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"143","```",1947,"sim_newsweek-us_1947-04-14_29_15.txt"
"144","**Headline:** Perspective Politics and the Labor Bills",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"145","",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"146","",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"147","",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"148","by RAYMOND MOLEY",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"149","",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"150","The demands of politics are",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"151","present in the current labor pains of",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"152","Congress. The election year 1948 is a",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"153","reality, and politicians are realists. But",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"154","the long record of the Senate debate",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"155","shows less demagoguery than is usual",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"156","in such important legislation.",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"157","As might be expected, the quality",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"158","of the Senate debate is much higher",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"159","than that which characterized the",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"160","passage of the House labor",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"161","bill. It is exceedingly un",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"162","wise to ascribe to political",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"163","strategy all the positions",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"164","taken by the various parties",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"165","to the debate.",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"166","In fairness to Taft, it",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"167","should be said that, despite",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"168","his Presidential ambitions,",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"169","he is trying to get fair and",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"170","not punitive legislation on",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"171","the books. There is some",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"172","thing in Robert Taft which",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"173","suggests his father's honest effort to",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"174","serve the public interest regardless of",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"175","unfavorable political consequences.",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"176","Taft's job is not easy, for he has to",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"177","contend with aggressive New Deal",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"178","Democrats, as well as with such pro",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"179","labor senators in his own party as",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"180","Ives, Morse and Aiken. But he is guid",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"181","ing a narrow working majority in the",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"182","direction of a bill which President",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"183","Truman will find hard to veto.",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"184","The occasional conflicts between",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"185","Ives and Taft have prompted a good",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"186","many commentators to say that this is",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"187","really a political contest between two",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
"188","leading Republican candidates, Taft",1947,"sim_newsweek-us_1947-05-19_29_20.txt"
