"","word1","word2","n"
"158","tax","cut",3
"159","tax","cuts",3
"160","text","editor",3
"161","text","extracted",3
"162","twocolumn","layout",3
"163","union","bosses",3
"164","union","leaders",3
"165","union","officers",3
"166","war","ii",3
"167","william","james",3
"168","_by","moley_",2
"169","additional","benefits",2
"170","american","citizens",2
"171","american","communism",2
"172","american","government",2
"173","american","party",2
"174","american","pictures",2
"175","american","political",2
"176","american","theaters",2
"177","american","tradition",2
"178","aneurin","bevan",2
"179","applied","science",2
"180","attorney's","office",2
"181","bill","died",2
"182","billion","dollars",2
"183","billion","expected",2
"184","bit","premature",2
"185","bodine","motors",2
"186","british","press",2
"187","budget","bureau",2
"188","budget","cuts",2
"189","building","program",2
"190","business","cycle",2
"191","business","enterprise",2
"192","business","management",2
"193","business","school",2
"194","cam","paigns",2
"195","campaign","committees",2
"196","campaign","gaitskell",2
"197","candidate","stevenson",2
"198","capehart","dealer",2
"199","cargo","plane",2
"200","carried","counties",2
"201","catholic","clergymen",2
"202","cent","paid",2
"203","city","council",2
"204","city","majorities",2
"205","close","race",2
"206","closed","shop",2
"207","columbia","basin",2
"208","column","structure",2
"209","committee","chairman",2
"210","committee","meets",2
"211","communist","party",2
"212","con","gress",2
"213","conditions","prevailing",2
"214","congressional","district",2
"215","congressional","districts",2
"216","conservative","candidate",2
"217","conservative","estimate",2
"218","conservative","party",2
"219","constitutional","crisis",2
"220","constitutional","law",2
"221","creel","appraisal",2
"222","critical","materials",2
"223","current","budget",2
"224","cut","expenditures",2
"225","cynically","coveted",2
"226","daniel","webster",2
"227","david","mccord",2
"228","deal","days",2
"229","debt","reduction",2
"230","defense","department",2
"231","demo","cratic",2
"232","democratic","committee",2
"233","democratic","primary",2
"234","democratic","support",2
"235","democrats","voted",2
"236","difficult","due",2
"237","domestic","issues",2
"238","dr","collings",2
"239","du","pont",2
"240","earl","warren",2
"241","economy","votes",2
"242","educational","finance",2
"243","eisenhower","cynically",2
"244","election","campaign",2
"245","election","laws",2
"246","election","officials",2
"247","electoral","system",2
"248","emergency","agencies",2
"249","energy","commission",2
"250","eral","court",2
"251","estes","kefauver",2
"252","excessive","abuse",2
"253","extra","effort",2
"254","factual","argument",2
"255","false","analogy",2
"256","farm","plans",2
"257","favorite","son",2
"258","federal","budget",2
"259","federal","control",2
"260","federal","courts",2
"261","federal","expenditures",2
"262","federal","grand",2
"263","federal","income",2
"264","federal","law",2
"265","federal","laws",2
"266","file","copy",2
"267","file","named",2
"268","finance","commission",2
"269","flood","control",2
"270","ford","foundation",2
"271","foreign","service",2
"272","formatting","inconsistencies",2
"273","frank","lausche",2
"274","free","dom",2
"275","free","institutions",2
"276","free","world",2
"277","frequently","mentioned",2
"278","government","bonds",2
"279","gradual","reduction",2
"280","grand","inquest",2
"281","grave","doubts",2
"282","hard","hitting",2
"283","harvard","university",2
"284","health","insurance",2
"285","henry","george",2
"286","henry","wallace",2
"287","hoover","report",2
"288","house","bill",2
"289","house","vote",2
"290","hugh","gaitskell",2
"291","human","behavior",2
"292","human","service",2
"293","hydroelectric","projects",2
"294","ideological","position",2
"295","illassorted","lot",2
"296","im","portance",2
"297","individual","freedom",2
"298","individual","incomes",2
"299","inflationary","prices",2
"300","informed","people",2
"301","intellectual","caliber",2
"302","internal","revenue",2
"303","investorowned","companies",2
"304","jesse","jones",2
"305","joseph","martin",2
"306","journalist","creel",2
"307","justice","holmes",2
"308","kansas","city",2
"309","key","positions",2
"310","la","follette",2
"311","labor","government",2
"312","labor","laws",2
"313","labor","policy",2
"314","language","model",2
"315","late","justices",2
"316","lawenforcement","officers",2
"317","liberal","democrats",2
"318","liberal","republicans",2
"319","litical","education",2
"320","local","organization",2
"321","low","percentage",2
"322","lower","brackets",2
"323","machine","rule",2
"324","major","parties",2
"325","marginal","democratic",2
"326","martin","jr",2
"327","mccord","wright",2
"328","means","committee",2
"329","middle","west",2
"330","million","acres",2
"331","million","unemployed",2
"332","minister","attlee",2
"333","minor","errors",2
"334","moral","element",2
"335","mother","earth",2
"336","national","candidates",2
"337","national","chairman",2
"338","national","figure",2
"339","national","production",2
"340","national","ticket",2
"341","national","tickets",2
"342","national","wealth",2
"343","natural","forces",2
"344","net","income",2
"345","nobly","conceived",2
"346","nonmilitary","items",2
"347","north","american",2
"348","north","carolina",2
"349","nuclear","power",2
"350","ominous","future",2
"351","opposition","votes",2
"352","oregon","washington",2
"353","organic","chemicals",2
"354","organized","effort",2
"355","original","column",2
"356","original","formatting",2
"357","pacific","coast",2
"358","paid","employees",2
"359","paid","yearround",2
"360","partnership","policy",2
"361","party","leaders",2
"362","party","line",2
"363","party","platform",2
"364","past","ten",2
"365","pdf","attempting",2
"366","pdf","note",2
"367","peo","ple",2
"368","perfect","separation",2
"369","permanent","labor",2
"370","person","holding",2
"371","philosophy","disturbing",2
"372","placement","law",2
"373","po","litical",2
"374","political","action",2
"375","political","arms",2
"376","political","campaign",2
"377","political","campaigns",2
"378","political","influence",2
"379","political","labor",2
"380","political","life",2
"381","political","ma",2
"382","political","party",2
"383","politically","active",2
"384","politically","inspired",2
"385","politically","minded",2
"386","power","companies",2
"387","power","projects",2
"388","power","trust",2
"389","pre","vented",2
"390","president","pro",2
"391","president's","program",2
"392","private","companies",2
"393","private","power",2
"394","privately","supported",2
"395","pro","tem",2
"396","profound","obligation",2
"397","progressive","era",2
"398","proper","role",2
"399","protestant","jewish",2
"400","provide","federal",2
"401","provided","due",2
"402","public","demands",2
"403","public","housing",2
"404","public","life",2
"405","public","office",2
"406","public","opinion",2
"407","public","servant",2
"408","public","service",2
"409","publican","party",2
"410","radical","movements",2
"411","real","test",2
"412","reasonable","speed",2
"413","recent","campaign",2
"414","relations","committee",2
"415","religious","war",2
"416","republican","campaign",2
"417","republican","counties",2
"418","republican","leaders",2
"419","republican","nomination",2
"420","republican","support",2
"421","resi","dence",2
"422","respective","chairmen",2
"423","responsibility","rests",2
"424","responsible","freedom",2
"425","responsible","people",2
"426","revenue","act",2
"427","revolutionary","findings",2
"428","richard","nixon",2
"429","righttowork","principle",2
"430","robert","morrison",2
"431","roosevelt","carried",2
"432","roosevelt","term",2
"433","rules","committee",2
"434","rural","districts",2
"435","santa","barbara",2
"436","school","boards",2
"437","scott","lucas",2
"438","secretary","byrnes",2
"439","secretary","tobin",2
"440","section","net",2
"441","sen","ators",2
"442","senate","chairman",2
"443","senator","george",2
"444","senator","monroney",2
"445","senator","morse",2
"446","skilled","manpower",2
"447","slightly","inaccurate",2
"448","socalled","liberal",2
"449","socalled","liberals",2
"450","social","services",2
"451","socialist","party",2
"452","southern","california",2
"453","sparsely","settled",2
"454","specific","issues",2
"455","spectacular","growth",2
"456","static","electorate",2
"457","stevenson","kefauver",2
"458","storage","project",2
"459","tariff","cuts",2
"460","task","force",2
"461","tax","burden",2
"462","tax","foundation",2
"463","tax","reduction",2
"464","tax","relief",2
"465","tenured","holder",2
"466","time","ago",2
"467","towering","figure",2
"468","trade","agreements",2
"469","trade","associationpressure",2
"470","trade","free",2
"471","trade","unions",2
"472","truman","administrations",2
"473","twocolumn","structure",2
"474","u.s","attorney",2
"475","u.s","attorney's",2
"476","u.s","house",2
"477","union","carbide",2
"478","union","shop",2
"479","united","kingdom",2
"480","united","nations",2
"481","unsatisfactory","facilities",2
"482","venture","capital",2
"483","vincent","astor",2
"484","violently","opposed",2
"485","votes","cast",2
"486","wall","street",2
"487","walter","reuther",2
"488","war","agencies",2
"489","west","coast",2
"490","wide","publicity",2
"491","woodrow","wilson",2
"492","york","city",2
"493","york","times",2
"494","_june_","txt",1
"495","a.s","mike",1
"496","a_","platform",1
"497","a_reconsidera","tion",1
"498","aa","august",1
"499","ab","senteeism",1
"500","abandoned","fallacious",1
"501","abandoned","hell's",1
"502","abandoning","job",1
"503","abnormal","manifestation",1
"504","abolishing","incomesplitting",1
"505","abolishing","poverty",1
"506","absentee","ballots",1
"507","abstention","republican",1
"508","absurd","charge",1
"509","abundant","evi",1
"510","abusing","hoover",1
"511","ac","cording",1
"512","ac","count",1
"513","academic","accomplish",1
"514","academic","achievement",1
"515","academic","freedom",1
"516","academic","honor",1
"517","academic","people",1
"518","accelerated","growth",1
"519","accelerating","drop",1
"520","accept","le",1
"521","acceptable","conduct",1
"522","acceptable","method",1
"523","accepted","citing",1
"524","accommodate","excess",1
"525","account","relates",1
"526","accountants","refuse",1
"527","accounting","act",1
"528","accounting","function",1
"529","accounting","system",1
"530","accumulated","surplus",1
"531","accurate","preelection",1
"532","accurate","transcription",1
"533","accurately","designed",1
"534","accurately","represent",1
"535","acheson","addressed",1
"536","acheson's","empty",1
"537","achievement","mark",1
"538","achieving","eco",1
"539","acquiescence","permitted",1
"540","acre","congress",1
"541","acreage","including",1
"542","acrosstheboard","aid",1
"543","act","abolishing",1
"544","act","designed",1
"545","act","representative",1
"546","action","money",1
"547","action","senators",1
"548","active","campaigner",1
"549","active","candidates",1
"550","active","labor",1
"551","active","local",1
"552","active","productive",1
"553","active","union",1
"554","actively","campaigning",1
"555","activities","carried",1
"556","activities","committee",1
"557","activity","organizations",1
"558","actu","ary",1
"559","actual","filename",1
"560","actual","fourth",1
"561","actual","negotiation",1
"562","actual","phys",1
"563","actual","revenues",1
"564","acute","foreign",1
"565","acutely","sensitive",1
"566","ad","lib",1
"567","ad","valorem",1
"568","ada","senator",1
"569","adam","clayton",1
"570","adam","smith",1
"571","adams","clay",1
"572","adams","daniel",1
"573","adaptability","psychological",1
"574","add","fatal",1
"575","added","budgetary",1
"576","added","challenge",1
"577","additional","easy",1
"578","additional","educational",1
"579","additional","inflation",1
"580","additional","millions",1
"581","additional","party",1
"582","additional","revenue",1
"583","additional","strength",1
"584","additional","subsidy",1
"585","additional","text",1
"586","address","published",1
"587","adequate","defense",1
"588","adequate","money",1
"589","adequate","share",1
"590","adequate","supply",1
"591","adherent","entered",1
"592","adjusting","duties",1
"593","admin","istration",1
"594","administration","countless",1
"595","administration","distributed",1
"596","administration","excluding",1
"597","administration","vigorously",1
"598","administration's","bill",1
"599","administration's","boat",1
"600","administration's","insistence",1
"601","administrative","ability",1
"602","administrative","caprice",1
"603","administrative","decisions",1
"604","administrative","review",1
"605","administrators","settle",1
"606","adminstration's","action",1
"607","admirably","prepared",1
"608","admired","napoleon",1
"609","admission","prices",1
"610","adopted","pr",1
"611","advance","edito",1
"612","advance","projection",1
"613","advantages","compromise",1
"614","adventitious","functions",1
"615","adventitious","props",1
"616","adventurous","impulsive",1
"617","advice","anti",1
"618","advo","cate",1
"619","advocate","recognition",1
"620","aec","industry",1
"621","aec","manufacturers",1
"622","aec","subject",1
"623","aeial","u.s",1
"624","af","fairs",1
"625","affairs","evolved",1
"626","affairs","lodge's",1
"627","affect","voters",1
"628","affili","ation",1
"629","affiliated","international",1
"630","affiliation","democratic",1
"631","affirm","federal",1
"632","aflcio","cope",1
"633","aflcio","news",1
"634","aflcio","passed",1
"635","aflcio","resolution",1
"636","aflcio","strategy",1
"637","age","foundation",1
"638","age","stripping",1
"639","aged","persons",1
"640","agement","psychology",1
"641","agencies","fail",1
"642","agencies","publish",1
"643","agency","rivaling",1
"644","aggravated","assault",1
"645","ago","devices",1
"646","ago","established",1
"647","ago","race",1
"648","ago","stopping",1
"649","agonizing","hangovers",1
"650","agreements","act",1
"651","agreements","negotiated",1
"652","agreements","originate",1
"653","agri","cultural",1
"654","agricultural","affairs",1
"655","agricultural","genius",1
"656","agricultural","income",1
"657","agricultural","poli",1
"658","agricultural","pricesupport",1
"659","agricultural","programs",1
"660","agricultural","surpluses",1
"661","agriculture","department",1
"662","agriculture","substantially",1
"663","agriculture","wisely",1
"664","ah","communism",1
"665","ahead","research",1
"666","aid","collapses",1
"667","aid","gwinn",1
"668","aid","including",1
"669","aiken","bill",1
"670","air","plane",1
"671","air","train",1
"672","aj","invalid",1
"673","ak","governors",1
"674","al","capone",1
"675","al","districts",1
"676","alabama","school",1
"677","albert","nash",1
"678","alcorn","program",1
"679","alexander","hamilton",1
"680","alien","property",1
"681","alike","burden",1
"682","alike","encourage",1
"683","alleged","improper",1
"684","alleged","loans",1
"685","allegedly","independent",1
"686","allen","reported",1
"687","alleviate","human",1
"688","alleviate","personal",1
"689","allies","conservatives",1
"690","allis","chalmers",1
"691","allnegro","schools",1
"692","allocations","estimates",1
"693","allparty","vote",1
"694","allwhite","schools",1
"695","allyear","agents",1
"696","aloud","kennedy",1
"697","alterna","tive",1
"698","alton","brooks",1
"699","alumnus","offered",1
"700","amateur","university",1
"701","amazing","capacity",1
"702","ameliorate","individual",1
"703","amendment","ii",1
"704","amendment","iii",1
"705","amendment","simply",1
"706","amendment","supplanting",1
"707","american","achievement",1
"708","american","aid",1
"709","american","army",1
"710","american","astor",1
"711","american","aviation",1
"712","american","born",1
"713","american","chemical",1
"714","american","children",1
"715","american","citizen",1
"716","american","civilians",1
"717","american","colonies",1
"718","american","commies",1
"719","american","congress",1
"720","american","consumers",1
"721","american","correspondence",1
"722","american","criminologists",1
"723","american","electorate's",1
"724","american","enterprise",1
"725","american","exports",1
"726","american","films",1
"727","american","habit",1
"728","american","herit",1
"729","american","heritage",1
"730","american","highways",1
"731","american","idea",1
"732","american","institutions",1
"733","american","labor",1
"734","american","liberal",1
"735","american","liberals",1
"736","american","manufacturing",1
"737","american","military",1
"738","american","minds",1
"739","american","money",1
"740","american","oil",1
"741","american","parties",1
"742","american","policy",1
"743","american","politics",1
"744","american","producers",1
"745","american","public",1
"746","american","revenue",1
"747","american","revo",1
"748","american","secular",1
"749","american","society",1
"750","american","stars",1
"751","american","technology",1
"752","american","war",1
"753","american","workers",1
"754","americans","east",1
"755","americans","envisioned",1
"756","americans","killed",1
"757","amount","american",1
"758","amount","annually",1
"759","ampaign","orators",1
"760","ample","skirts",1
"761","amusing","pictures",1
"762","amusing","speech",1
"763","anachronism","italy",1
"764","analogy","congressman",1
"765","ance","grants",1
"766","ance","speech",1
"767","ancient","breton",1
"768","ancient","con",1
"769","ancient","democratic",1
"770","angeles","news",1
"771","angeles","plat",1
"772","angeles","platform",1
"773","angered","congress",1
"774","angry","politics",1
"775","animal","kingdom",1
"776","annihilate","economic",1
"777","announce","policies",1
"778","announcement","soviet",1
"779","annual","messages",1
"780","annual","regional",1
"781","anonymous","bureau",1
"782","anonymous","bureaucrats",1
"783","answered","don",1
"784","anthony","leviero",1
"785","anthony","panuch",1
"786","anticipate","motor",1
"787","anticipated","growth",1
"788","antilabor","sections",1
"789","antiquated","concepts",1
"790","antique","rusty",1
"791","antirepublican","prostate",1
"792","antisocial","behavior",1
"793","antitaft","antirepublican",1
"794","ap","peal",1
"795","ap","quoted",1
"796","apap","ak",1
"797","apartment","house",1
"798","apparent","innocence",1
"799","apparent","lack",1
"800","apparent","unable",1
"801","apparently","papa",1
"802","apparently","recognizes",1
"803","appeal","based",1
"804","appeal","tranquilizes",1
"805","appeal","utterly",1
"806","appearances","senators",1
"807","appearances","short",1
"808","appeared","eleanor",1
"809","appeared","o'dwyer",1
"810","applicants","claimed",1
"811","applied","safely",1
"812","applying","federal",1
"813","appointed","officer",1
"814","appointive","offices",1
"815","appointments","hold",1
"816","appreciably","increase",1
"817","apprehensions","party",1
"818","appren","u.s",1
"819","appropriately","expressing",1
"820","appropriations","bills",1
"821","approved","american",1
"822","approved","benefits",1
"823","approved","reorganization",1
"824","april","apparently",1
"825","april","meeting",1
"826","ar","ce",1
"827","ar","frauds",1
"828","arbitral","awards",1
"829","archaic","unbusinesslike",1
"830","arco","idaho",1
"831","ard","comment",1
"832","ardent","patriotism",1
"833","ardent","worshippers",1
"834","areh","barred",1
"835","argued","americans",1
"836","argument","carries",1
"837","argument","holds",1
"838","arguments","therefor",1
"839","arid","land",1
"840","arid","wastes",1
"841","aridrew","schoeppel",1
"842","aristocrat","jefferson",1
"843","arizona","cam",1
"844","arizona","family",1
"845","arkansas","valley",1
"846","armchair","doctrinaire",1
"847","army","chemical",1
"848","army","corps",1
"849","army","matters",1
"850","army","officer",1
"851","aroused","citizenry",1
"852","arrests","attention",1
"853","arthur","krock",1
"854","arthur","rank",1
"855","arthur","schlesinger",1
"856","article","lerner",1
"857","article","seemingly",1
"858","articles","telling",1
"859","arvey","machine",1
"860","as_","chores",1
"861","ashtabula","board",1
"862","ashtabula","ohio",1
"863","asia","africa",1
"864","aspen","colo",1
"865","assault","burglary",1
"866","assembly","republicans",1
"867","assist","ance",1
"868","assistance","recipients",1
"869","associationpressure","lobby",1
"870","associationpressure","organization",1
"871","assorted","chemicals",1
"872","assorted","democrats",1
"873","assumed","office",1
"874","assured","security",1
"875","astonishing","assertion",1
"876","astonishing","building",1
"877","astor","lived",1
"878","astor","opposed",1
"879","astor's","heart",1
"880","ate","study",1
"881","atom","automobiles",1
"882","atomic","development",1
"883","atomic","electric",1
"884","atomic","industrial",1
"885","atomic","powerii",1
"886","atomic","poweriv",1
"887","atomic","program",1
"888","atomic","quest",1
"889","atomicenergy","activities",1
"890","atomicenergy","bill",1
"891","ators","schoeppel",1
"892","attack","bureauitis",1
"893","attack","deserve",1
"894","attack","rests",1
"895","attack","specific",1
"896","attacked","bitterly",1
"897","attempted","purge",1
"898","atten","tion",1
"899","attendance","age",1
"900","attending","school",1
"901","attention","bodine",1
"902","attlee","announced",1
"903","attlee","morrison",1
"904","attlee","visited",1
"905","attorney","responded",1
"906","attractive","candidates",1
"907","attractive","conservative",1
"908","attractive","countryside",1
"909","au","thority",1
"910","auguration","dies",1
"911","august","kennedy",1
"912","aunts","labor",1
"913","australia","hawaii",1
"914","authentic","trial",1
"915","authorities","agree",1
"916","authorize","henry",1
"917","auto","theft",1
"918","automation","foreign",1
"919","automobile","industry",1
"920","automobile","writes",1
"921","automobiles","ships",1
"922","autonomy","realizes",1
"923","autumn","days",1
"924","avenport's","willingness",1
"925","average","citizen",1
"926","average","conservative",1
"927","average","life",1
"928","average","mental",1
"929","average","voter",1
"930","averaged","million",1
"931","avoid","predictions",1
"932","avoid","unwanted",1
"933","awaiting","release",1
"934","awakening","masses",1
"935","awful","decisions",1
"936","awful","monotony",1
"937","ax","fell",1
"938","ay","olan",1
"939","babcock","wilcox",1
"940","backtrackings","reveal",1
"941","bad","advice",1
"942","bad","dentist",1
"943","bad","manners",1
"944","bad","marriage",1
"945","bal","information",1
"946","balanced","chronic",1
"947","ball","minnesota",1
"948","ball's","views",1
"949","balloons","creel's",1
"950","ballot","based",1
"951","ballot","box",1
"952","ballots","regarded",1
"953","bank","helped",1
"954","bank","ruptcy",1
"955","bankers","called",1
"956","bankers","investors",1
"957","banking","approved",1
"958","banks","buy",1
"959","bar","ricade",1
"960","barbara","calif",1
"961","barely","time",1
"962","barred","battered",1
"963","barren","fields",1
"964","barriers","raised",1
"965","barring","war",1
"966","barry","goldwater",1
"967","baseball","aver",1
"968","baseball","game",1
"969","baseboard","heating.txt",1
"970","basic","claim",1
"971","basic","content",1
"972","basic","contest",1
"973","basic","designs",1
"974","basic","element",1
"975","basic","error",1
"976","basic","federal",1
"977","basic","liberties",1
"978","basic","organization",1
"979","basic","purchasing",1
"980","basic","purpose",1
"981","basic","question",1
"982","basic","rate",1
"983","basic","reason",1
"984","basic","structure",1
"985","basic","theory",1
"986","basic","unit",1
"987","basin","approximately",1
"988","basin","project",1
"989","battle","lines",1
"990","battle","waged",1
"991","bay","city",1
"992","bearing","praise",1
"993","beats","time",1
"994","becker","chadwick",1
"995","beckhoffa","behavior",1
"996","befell","thomas",1
"997","beget","hysteria",1
"998","behavior","begins",1
"999","behavior","overbalancing",1
"1000","behavior","pattern",1
"1001","belief","prevails",1
"1002","believed","dulles",1
"1003","bell","timmerman",1
"1004","beloved","president",1
"1005","ben","moreell",1
"1006","bene","fits",1
"1007","beneficial","effect",1
"1008","benefitcost","ratio",1
"1009","benefits","paid",1
"1010","benighted","oppres",1
"1011","benign","ruler",1
"1012","benjamin","disraeli",1
"1013","bennett","dewey",1
"1014","bennion","committee",1
"1015","benson","farm",1
"1016","bernard","baruch",1
"1017","bernard","mcfeely",1
"1018","bers","pepper",1
"1019","bert","hoover",1
"1020","bevan","trade",1
"1021","bewildering","variety",1
"1022","bian","american",1
"1023","biased","economics",1
"1024","bicentennial","convocation",1
"1025","biennial","elections",1
"1026","biennial","milking",1
"1027","bifocal","record",1
"1028","bigger","planes",1
"1029","bigname","figures",1
"1030","bill","recognizes",1
"1031","billion","bushels",1
"1032","billion","immensely",1
"1033","billion","increases",1
"1034","billion","line",1
"1035","billion","mark",1
"1036","billion","raised",1
"1037","billion","wheat",1
"1038","billions","undertake",1
"1039","bills","business",1
"1040","bills","h.r",1
"1041","bills","innumerable",1
"1042","bills","introduced",1
"1043","billy","graham",1
"1044","bipartisan","statistical",1
"1045","birth","rate",1
"1046","bit","sad",1
"1047","bitter","anger",1
"1048","bitter","feuds",1
"1049","bitter","frustration",1
"1050","bitter","haters",1
"1051","bitter","indignation",1
"1052","bitter","jest",1
"1053","bitter","lessons",1
"1054","bitter","lines",1
"1055","bitter","memory",1
"1056","bitter","opposition",1
"1057","bitter","provocation",1
"1058","bitter","truth",1
"1059","bitterly","criticized",1
"1060","bitterly","opposed",1
"1061","bizarre","utopianism",1
"1062","black","knightserrant",1
"1063","blatant","examples",1
"1064","ble","reporter",1
"1065","bleak","conclusion",1
"1066","bleak","house",1
"1067","blind","acceptance",1
"1068","blitz","tactics",1
"1069","bloated","organization",1
"1070","blue","chip",1
"1071","blue","cross",1
"1072","blue","mondays",1
"1073","blue","shield",1
"1074","bluechip","pool",1
"1075","blunt","letter",1
"1076","blunt","speech",1
"1077","board","ap",1
"1078","board","de",1
"1079","board","neatly",1
"1080","board","receives",1
"1081","boards","rejection",1
"1082","boating","swimming",1
"1083","boddy","publisher",1
"1084","bodine","electric",1
"1085","bodine","engineers",1
"1086","body","build",1
"1087","body","marxists",1
"1088","body","moved",1
"1089","body","structure",1
"1090","body","types",1
"1091","bond","issue",1
"1092","bonds","principle",1
"1093","bonds","sell",1
"1094","bonds","substantiating",1
"1095","bondsale","drives",1
"1096","bonne","ville",1
"1097","book","don",1
"1098","book","pollsum",1
"1099","bookkeeping","gimmick",1
"1100","bookkeeping","gimmicks",1
"1101","borough","council",1
"1102","borough","labor",1
"1103","borrowing","capacity",1
"1104","bounty","economics",1
"1105","bovine","classification",1
"1106","bovine","sort",1
"1107","box","danville",1
"1108","boys","clubs",1
"1109","boys","rigging",1
"1110","brains","time",1
"1111","brandeis","secretary",1
"1112","breast","beating",1
"1113","breed","poverty",1
"1114","breton","legend",1
"1115","bricker","proposal",1
"1116","brickwedde","murphy",1
"1117","brig","j.a",1
"1118","bright","brave",1
"1119","brightest","view",1
"1120","brilliant","campaigner",1
"1121","brilliant","conservative",1
"1122","brimming","financial",1
"1123","bring","fundamentally",1
"1124","bring","home",1
"1125","bring","lausche",1
"1126","brisk","race",1
"1127","bristol","lives",1
"1128","bristol","trade",1
"1129","britain","conditioned",1
"1130","britain","loses",1
"1131","britain","means",1
"1132","britain's","crisis",1
"1133","british","action",1
"1134","british","call",1
"1135","british","conservative",1
"1136","british","election",1
"1137","british","elections",1
"1138","british","electorate",1
"1139","british","exhibitors",1
"1140","british","films",1
"1141","british","government",1
"1142","british","importations",1
"1143","british","labor",1
"1144","british","liberals",1
"1145","british","newspaper",1
"1146","british","people",1
"1147","british","pictures",1
"1148","british","political",1
"1149","british","prime",1
"1150","british","productions",1
"1151","british","public",1
"1152","british","refused",1
"1153","british","socialism",1
"1154","british","statesmen",1
"1155","britishamerican","trade",1
"1156","broad","economic",1
"1157","broad","policies",1
"1158","broad","tidal",1
"1159","broad","trends",1
"1160","broad","upturn",1
"1161","broader","context",1
"1162","broader","service",1
"1163","broke","precedent",1
"1164","broken","civilizations",1
"1165","brookings","institution",1
"1166","brooks","parker",1
"1167","brought","charges",1
"1168","brought","suit",1
"1169","brought","victory",1
"1170","brown","permitted",1
"1171","bruce","knight",1
"1172","bruised","mon",1
"1173","bryan","concluded",1
"1174","bryan","disagreed",1
"1175","budget","arises",1
"1176","budget","calls",1
"1177","budget","dewey",1
"1178","budget","estimates",1
"1179","budget","plans",1
"1180","budget","surplus",1
"1181","budgetary","item",1
"1182","budgetary","items",1
"1183","budgets","recommend",1
"1184","build","planes",1
"1185","building","dams",1
