"","sentence","date","year","month","day","filename"
"54","be needed, are matters of strategy to be decided by the Army","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"55","and the Navy. There is no reason now to assume that this","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"56","war will have to be fought with the exact types of plane","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"57","already in production. But it does seem likely that whatever is new","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"58","or startling in the planes that will come off the production line","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"59","for some time to come will be a modification and improvement of","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"60","basic designs that now exist. “Leaders in the industry here and elsewhere","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"61","have been stressing the im- portance of carriers for a long time,","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"62","and point to the number of excellent cargo planes already in production.","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"63","The cam- paign of Mr. Kaiser has heavily under- scored their importance.","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"64","He can have the immense satisfaction of knowing that he has directed","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"65","the nation’s atten- tion to the value of large carriers. Everyone will","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"66","wish him well in his new project.","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"67","? NEWSWEEK Perspective U. S, Three Governorships by RAYMOND As we come","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"68","to mid-October, two political conclusions are clear. One is a drift toward","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"69","Republican candidates; the other is a prospective small vote. These two signs","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"70","may or may not have something in common. My impression is that","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"71","they are not related. The small vote will come from many contributing","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"72","causes. First, a lot of people are in the Army and Navy.","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"73","Second, a lot .more are too busy to think about politics. :","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"74","An election is a sort of little war, and many vote merely","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"75","to participate in a contest. Now a real war captures the spirit","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"76","of contention in people. A great many people have moved because of","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"77","their employment, and while a lot of these still have the technical","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"78","qualifications for voting, they are in strange surroundings and the normal political","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"79","pressures on them are gone. Many: thousands have moved from rural districts","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"80","to cities and know little of urban registration.rules,-- These perfectly clear causes,","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"81",", with, a number of additional ones, will account for a light","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"82","vote. It is unnecessary to characterize it as apathy. The Republican drift","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"83","is unmistakable (see Periscope Preview) . Vast numbers of people.are. dissatisfied with","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"84","the con- duct of the war at home and abroad. The rubber","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"85","debacle alone will lose the Administration countless votes. The President’s scolding of","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"86","farmers has made no new city and labor votes but has lost","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"87","him thousands in agri- cultural regions. The New Deal has led people","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"88","to expect so much that they tend to blame it for every","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"89","discomfort. In this off year, gubernatorial cam- ‘paigns are indicative of the","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"90","trend. Within the month I have made some firsthand study in three","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"91","widely sepa- rated states—New York, Kansas and California. In New York, a","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"92","curious mix-up in party behavior is evident already. Bennett, who is a","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"93","pretty un- inspiring candidate despite the popu- larity of his manager Farley,","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"94","is stronger in upstate Republican New York than any candidate in years","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"95","but weaker in the big city. As things look now, Dewey may","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"96","come close to the un- precedented feat of carrying the city as","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"97","a Republican. This creates an em- barrassment of sorts for both Dewey","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"98","and Bennett. Dewey cannot attack the Roosevelt Administration vigorously for fear of","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"99","losing the city. Bennett cannot . OCTOBER Patent Office MOLEY 1 talk","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"100","much about the President for teal of losing support upstate. But Dewey","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"101","| can afford to coast because, if the pol are correct, nothing","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"102","short of the com. | mission of homicide or arson could lose","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"103","him the election. Kansas is interesting this year. The Republicans had a","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"104","spirited -primary contest. Senator Reed tried for the Republican nomination for governor","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"105","on a crack-down-on-labor platform. He ran third. Aridrew Schoeppel, a clean-cut and","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"106","respected lawyer. froma. small city { in Western Kahsas, won. He is","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"107","opposed | 4 by William Burke, who has held various. appointive offices","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"108","from Washington an q who ran and lost in 1940. It looks","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"109","li an easy victory for Schoeppel. a There is real color in","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"110","the Californ fight. Olson was elected in-1988 by a” most indiscriminate collection","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"111","of rceg! “h —ham-and-eggers, labor, New Dealers, Sinclairites, single taxers and socialists,","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"112","No one could~satisfy such a motley: following, and Olson has had a","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"113","riotous” time for four years. His opponent, Earl” Warren, now Attorney General,","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"114","im- 4 presses those who know him as a man’? of unique","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"115","integrity and steadiness. He” was unopposed in i the Republican pri- |","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"116","mary, and in the Democratic primary he ran Olson a rather close","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"117","race. ~*~ 4a The sole appeal of Olson is his | devotion","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"118","to the President. He made hay * when the Pregident visited California.","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"119","| According to the announcement of the 4 Democratic Committee of Los","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"120","Olson stuck to the distinguished visitor’ like a burr.in the mane of","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"121","a lion. He was in the automobile with the Presi- | dent","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"122","as they toured the plants in Los | Angeles and San Diego","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"123","and visited | naval and marine establishments. They also visited an old","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"124","mission. One cannot help speculating upon the meditations. of the two. as","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"125","they contemplated the venerable beauty of San Juan Capis- ; trano. Surely","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"126","their thoughts were far from the political campaign. Perhaps the President’s visit","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"127","has saved Olson, ‘ but late reports still favor Warren. The election","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"128","of Warren and Dewey | in the two big states on opposite","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"129","sides | ‘of the country would be a considerable | return toward","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"130","a political balance in ‘ this country, especially since there stretches between","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"131","them an almost un- | cite ay olan apap ak. governors now","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"132","in office.","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"133","lationist,” however, House lowest opposition leaders Office Willkie Rep. isolationist was was","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"134","of the war effort and is liked trusted by most Republican leaders.","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"135","Will the country be more conserva- Yes, well on into the postwar","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"136","The men thrown into the lime- are, in the main, middle-of-the- steady","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"137","people. A lot of extremists coattail riders went down. This is not","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"138","a flash in the pan. It a change in the national temper","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"139","some time to come. What about Jim Farley’s future? An of the","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"140","vote in the various shows that the defeat of his in New","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"141","York can be ascribed to upturn against the Adminis- Throughout the nation,","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"142","Farley continue to be respected and sup- by conservative Democrats, and may","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"143","possibly see them seriously for the control of the party. Will the","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"144","war effort be more vigorous prosecuted? Yes. The tonic effect of election","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"145","will put zest into the in Congress, into industrial generally, and into","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"146","the small and agricultural areas. Labor also and publicans, the of James","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"147","whom league, office election Congress winning himself. the over. an. feuding ing,”","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"148","Christian does the party, alike burden onstrate, Herald will be less confident","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"149","of their The desire to win the war will, Public morale will","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"150","be better be- the people have taken over the of morale-building themselves.","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"151","its the wholeheartedly tions to they tory where. Is this all due","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"152","to protest against the effort of the Administration? No. in part. It","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"153","is the continuation of undercurrent that began in some sections of the","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"154","Middle West as as 1936. It has grown in every since, until,","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"155","as a result of this . Republican governors will hold in states","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"156","with approximately three- of the population of the nation minority as have","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"157","greatly increased representa- in Congress. This tide is not likely recede for","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"158","a considerable time and it well go much farther. full the as","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"159","play ties halted.” mand W. What about straw votes? Polls may useful","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"160","in pointing out trends. But more accurate pre-election polls the by the","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"161","less value they have as because voters are influenced Mayor cratic man","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"162","them. The best commentators still it necessary to travel, to talk with","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"163","reelect Albert Nash the Raymond observers on the spot and consider generally","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"164","how current hap- are likely to affect voters. Poli- is still an","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"165","art, not a science. & appeared NEWSWEEK and both were reelected. Fish,","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"166","goes to his thirteenth term in the by the scant margin of","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"167","4,062 votes, of his career. He won despite the of President- Roosevelt","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"168","and of his own party—Wendell L. and Gov.-elect Thomas E. Dewey. Clare","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"169","E. Hoffman, an outstanding before Dec. 7, whose defeat earnestly desired by","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"170","the New Deal, reelected in Michigan. But pre-Pearl Harbor interventionists fared well—Gov.","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"171","Harold E. Stassen Sen. Joseph H. Ball, Minnesota Re- who were attacked","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"172","bitterly in primary campaigns for their support Mr. Roosevelt before Dec. 7,","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"173","and Sen. E. Murray, Montana Democrat, Sen. Burton K. Wheeler, his col-","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"174","had accused of “trying to ride into on the coattails of war","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"175","fever.” President Roosevelt’s comment on the was brief: he assumed the new","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"176","would be as much in favor of the war as the Chief","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"177","Executive He was expressing only part of consensus of commentators the country","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"178","The mandate, it was agreed, was for end to inefficiency and bureaucratic","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"179","in Washington. “It will be surpris- wrote Roscoe Drummond in The Science","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"180","Monitor, “if the election not have a emaabeneng effect upon Administration.” As","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"181","for its effect upon the Republican } commentators and GOP leaders ©","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"182","called upon the party to realize the of victory: let the party","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"183","now dem- said the Republican New York Tribune, “that it has learned","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"184","by blunders, and possesses the ability and bravery to support the war","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"185","effort and to place in key posi- men sufficiently wise and farseeing","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"186","take command in a national crisis. If do not give this proof","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"187",". . . their vic- will be an empty success leading no-","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"188","If they live up to their opportuni- leader. Announcing his retirement GOP","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"189","National Chairman to give his time to Congressional duties, he said Republicans","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"190","would “devote themselves Americans to winning the war and not politics.” their","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"191","to power cannot be The attitude of the Republican com- was set","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"192","forth soberly by Rep. Joseph Martin Jr. of Massachusetts, House There were","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"193","three outstanding defeats in elections aside from the beatings taken candidates. The","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"194","powerful machine of Frank Hague of Jersey City, Demo- boss of New","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"195","Jersey and a vice chair- of the National Committee, failed to Sen.","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"196","William H. Smathers over W. Hawkes, Republican. The Kelly- machine of Chicago","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"197","was trounced by victory of Senator Brooks over Rep. S. McKeough. And","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"198","Democrats march likely to quarrel through 1944","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"199","showrooms, you must wait until victory enjoy this superlative instrument. end by","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"200","buying War Bonds! needs But you can prepare for the war's earlier","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"201","your investment, Your country and you will building soundly for the future,","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"202","when may want to purchase a home, a car, television set, or","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"203","a Capehart. Your Capehart dealer also offers counsel on other musical requirements","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"204","the selection of a piano, an organ, instruments, sheet music, recordings. Capehart","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"205","Division of the Farnsworth vision & Radio Corporation, Ft. Wayne, - FARNSWORTH","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"206","REPRODUCTION —™TELEVISION to be you a you . . . band The","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"207","Tele- Ind. “The Engulfed Cathedral,” by Claude Debussy, painted for the Capehart","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"208","Col- lection by Raymond Breinin. This im- pressionistic tone-poem tells the ancient","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"209","Breton legend of the cathedral that rises from the sea. © Reprints","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"210","of previous paintings are now available from your Capehart dealer at a","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"211","modest charge. Or write to Capehart. © Capehart Early Georgian (illustrated below)","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"212","with the time-proved record changer that turns the records over. Equipped for","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"213","FM radio,","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
