"","word1","word2","date","year","month","day","filename"
"41","materials","engineering","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"42","engineering","personnel","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"43","personnel","mass","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"44","mass","production","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"45","draw","heavily","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"46","strained","resources","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"47","overburdened","industry","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"48","vastly","bigger","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"49","bigger","planes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"50","cargo","plane","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"51","cargo","planes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"52","exact","types","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"53","production","line","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"54","basic","designs","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"55","exist","leaders","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"56","excellent","cargo","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"57","cargo","planes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"58","heavily","underscored","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"59","immense","satisfaction","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"60","nation’s","attention","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"61","mid","october","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"62","political","conclusions","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"63","republican","candidates","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"64","real","war","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"65","war","captures","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"66","strange","surroundings","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"67","normal","political","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"68","rural","districts","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"69","urban","registration.rules","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"70","republican","drift","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"71","periscope","preview","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"72","preview","vast","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"73","people.are","dissatisfied","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"74","administration","countless","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"75","countless","votes","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"76","president’s","scolding","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"77","labor","votes","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"78","agricultural","regions","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"79","led","people","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"80","gubernatorial","cam‘paigns","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"81","firsthand","study","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"82","widely","separated","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"83","york","kansas","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"84","curious","mix","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"85","party","behavior","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"86","pretty","uninspiring","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"87","uninspiring","candidate","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"88","manager","farley","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"89","upstate","republican","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"90","unprecedented","feat","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"91","bennett","dewey","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"92","roosevelt","administration","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"93","administration","vigorously","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"94","city","bennett","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"95","october","patent","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"96","office","moley","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"97","moley","talk","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"98","losing","support","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"99","support","upstate","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"100","election","kansas","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"101","spiritedprimary","contest","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"102","contest","senator","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"103","senator","reed","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"104","republican","nomination","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"105","labor","platform","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"106","aridrew","schoeppel","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"107","clean","cut","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"108","respected","lawyer","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"109","lawyer","froma","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"110","western","kahsas","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"111","kahsas","won","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"112","william","burke","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"113","appointive","offices","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"114","easy","victory","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"115","real","color","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"116","californ","fight","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"117","fight","olson","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"118","elected","inby","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"119","indiscriminate","collection","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"120","eggers","labor","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"121","dealers","sinclairites","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"122","sinclairites","single","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"123","single","taxers","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"124","riotous","time","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"125","opponent","earl","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"126","earl","warren","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"127","im","presses","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"128","republican","pri","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"129","democratic","primary","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"130","ran","olson","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"131","sole","appeal","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"132","pregident","visited","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"133","visited","california","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"134","democratic","committee","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"135","olson","stuck","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"136","distinguished","visitor","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"137","presi","dent","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"138","los","angeles","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"139","san","diego","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"140","visited","naval","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"141","marine","establishments","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"142","venerable","beauty","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"143","san","juan","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"144","juan","capis","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"145","capis","trano","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"146","trano","surely","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"147","political","campaign","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"148","president’s","visit","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"149","saved","olson","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"150","late","reports","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"151","favor","warren","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"152","considerable","return","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"153","political","balance","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"154","cite","ay","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"155","ay","olan","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"156","olan","apap","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"157","apap","ak","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"158","ak","governors","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
"159","house","lowest","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"160","lowest","opposition","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"161","opposition","leaders","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"162","leaders","office","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"163","office","willkie","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"164","willkie","rep","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"165","rep","isolationist","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"166","war","effort","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"167","republican","leaders","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"168","main","middle","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"169","extremists","coattail","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"170","coattail","riders","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"171","national","temper","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"172","jim","farley’s","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"173","farley’s","future","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"174","farley","continue","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"175","supby","conservative","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"176","conservative","democrats","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"177","war","effort","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"178","vigorous","prosecuted","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"179","tonic","effect","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"180","league","office","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"181","office","election","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"182","election","congress","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"183","congress","winning","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"184","feuding","ing","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"185","party","alike","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"186","alike","burden","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"187","burden","onstrate","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"188","onstrate","herald","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"189","public","morale","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"190","bethe","people","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"191","morale","building","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"192","wholeheartedly","tions","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"193","middle","west","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"194","republican","governors","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"195","approximately","threeof","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"196","nation","minority","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"197","greatly","increased","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"198","increased","representain","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"199","representain","congress","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"200","considerable","time","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"201","play","ties","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"202","ties","halted","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"203","halted","mand","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"204","straw","votes","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"205","votes","polls","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"206","accurate","pre","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"207","pre","election","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"208","election","polls","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"209","influenced","mayor","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"210","mayor","cratic","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"211","reelect","albert","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"212","albert","nash","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"213","current","hapare","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"214","affect","voters","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"215","voters","poliis","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"216","science","appeared","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"217","reelected","fish","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"218","thirteenth","term","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"219","scant","margin","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"220","party","wendell","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"221","gov","elect","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"222","elect","thomas","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"223","dewey","clare","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"224","defeat","earnestly","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"225","earnestly","desired","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"226","deal","reelected","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"227","pre","pearl","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"228","pearl","harbor","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"229","harbor","interventionists","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"230","interventionists","fared","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"231","stassen","sen","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"232","sen","joseph","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"233","ball","minnesota","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"234","minnesota","rewho","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"235","primary","campaigns","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"236","murray","montana","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"237","montana","democrat","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"238","democrat","sen","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"239","sen","burton","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"240","fever","president","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"241","president","roosevelt’s","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"242","roosevelt’s","comment","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"243","surpriswrote","roscoe","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"244","roscoe","drummond","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"245","emaabeneng","effect","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"246","republican","commentators","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"247","gop","leaders","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"248","york","tribune","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"249","key","posimen","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"250","posimen","sufficiently","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"251","sufficiently","wise","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"252","national","crisis","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"253","empty","success","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"254","success","leading","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"255","opportunileader","announcing","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"256","retirement","gop","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"257","national","chairman","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"258","congressional","duties","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"259","republican","comwas","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"260","comwas","set","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"261","rep","joseph","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"262","joseph","martin","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"263","martin","jr","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"264","massachusetts","house","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"265","outstanding","defeats","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"266","powerful","machine","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"267","frank","hague","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"268","jersey","city","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"269","city","demoboss","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"270","vice","chairof","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"271","national","committee","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"272","committee","failed","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"273","hawkes","republican","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"274","senator","brooks","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"275","democrats","march","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"276","victory","enjoy","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"277","superlative","instrument","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"278","buying","war","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"279","war","bonds","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"280","war's","earlier","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"281","building","soundly","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"282","car","television","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"283","television","set","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"284","capehart","dealer","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"285","offers","counsel","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
"286","musical","requirements","1942-11-16",1942,11,16,"Moley_newsweek_1942-11-16_20_20.txt"
